Duração;sys_created_on;assignment_group;short_description;node;cmdb_ci;number;severity;parent;cmdb_ci.sys_class_name;source;sn_priority_group;state;sys_id;type.display_value;u_action_time;u_closed_date;acknowledged;correlation_group;event_count;incident;metric_name;message_key;com_remediacao;Pilar;tasks_count;tasks_numbers;self_healing_status
00:04:25;7/25/2025 12:23:28 AM;Trading Requirements;CPU saturation;azpredistrdprc03.xpcorretora.com.br;azpredistrdprc03;Alert13715477;Alto / Major;nan;Servidor Linux;SGO-Dynatrace;Alto(a);Encerrado;a0fee4c03b07aa1084491747f4e45ae1;RESOURCE_CONTENTION;0;7/25/2025 12:27:53 AM;FALSO;Nenhum(a);2;nan;CPU_SATURATED;-2434194149914963522_1753413460309V2-azpredistrdprc03.xpcorretora.com.br;Sim;Infra;1;REM0081985;REM_OK
00:28:50;7/25/2025 12:24:10 AM;Controle de Acessos;CPU saturation;sp2vaultssh01.xpcorretora.com.br;sp2vaultssh01;Alert13715478;Alto / Major;nan;Servidor Linux;SGO-Dynatrace;Alto(a);Encerrado;ba1f648087c3aa105a0a41170cbb35b2;RESOURCE_CONTENTION;0;7/25/2025 12:53:00 AM;VERDADEIRO;Nenhum(a);2;nan;CPU_SATURATED;-3619697171738105696_1753413510176V2-sp2vaultssh01.xpcorretora.com.br;Sim;Infra;1;REM0081986;REM_OK
00:04:10;7/25/2025 12:25:05 AM;Banco de dados - SqlServer;Memory saturation;SP2SQL52.xpcorretora.com.br;sp2sql52;Alert13715479;Alto / Major;nan;Windows Server;SGO-Dynatrace;Alto(a);Encerrado;985f60843b8fa610ab756c47f4e45a42;RESOURCE_CONTENTION;0;7/25/2025 12:29:15 AM;VERDADEIRO;Nenhum(a);2;nan;MEMORY_SATURATED;4195790493610361820_1753413570148V2-SP2SQL52.xpcorretora.com.br;Sim;Infra;1;REM0081987;REM_OK
00:03:25;7/25/2025 12:28:51 AM;Clear Legado;CPU saturation;sp3grafcl01.xpcorretora.com.br;sp3grafcl01;Alert13715481;Alto / Major;nan;Servidor Linux;SGO-Dynatrace;Alto(a);Encerrado;5b20b0c0878f2e10959ec8440cbb35df;RESOURCE_CONTENTION;0;7/25/2025 12:32:16 AM;FALSO;Nenhum(a);2;nan;CPU_SATURATED;-2566970172802710121_1753413760241V2-sp3grafcl01.xpcorretora.com.br;Sim;Infra;1;REM0081988;REM_OK
00:23:50;7/25/2025 12:44:29 AM;Controle de Acessos;CPU saturation;sp2vaultssh02.xpcorretora.com.br;sp2vaultssh02;Alert13715488;Alto / Major;nan;Servidor Linux;SGO-Dynatrace;Alto(a);Encerrado;9cc3b04097c7e65077b1f846f053afd8;RESOURCE_CONTENTION;0;7/25/2025 1:08:19 AM;VERDADEIRO;Nenhum(a);2;nan;CPU_SATURATED;-5093790545078869747_1753414730291V2-sp2vaultssh02.xpcorretora.com.br;Sim;Infra;1;REM0081989;REM_OK
00:04:35;7/25/2025 12:45:20 AM;Consolidation;Memory saturation;az2psql29.xpcorretora.com.br;az2psql29;Alert13715489;Alto / Major;nan;Windows Server;SGO-Dynatrace;Alto(a);Encerrado;b8f334c84787ea50b270fec4f26d436a;RESOURCE_CONTENTION;0;7/25/2025 12:49:55 AM;VERDADEIRO;Nenhum(a);2;nan;MEMORY_SATURATED;1003303625479144590_1753414780208V2-az2psql29.xpcorretora.com.br;Sim;Infra;1;REM0081990;REM_OK
00:11:00;7/25/2025 1:18:43 AM;NOC;[Kubernetes] OOM - fp-antifraud-lynx-fallback;xpi-prd-brazilsoutheast-aks;xpi-prd-brazilsoutheast-aks;Alert13715588;Medio / Minor;nan;Recurso de nuvem;SGO-Dynatrace;Moderado(a);Encerrado;b99bfc8c3b47aa1084491747f4e45a5d;CUSTOM_ALERT;0;7/25/2025 1:29:43 AM;FALSO;Nenhum(a);2;nan;CUSTOM_ALERT;3745701625204940768_1753416660000V2-xpi-prd-brazilsoutheast-aks;Sim;Infra;1;REM0081991;REM_OK
00:09:55;7/25/2025 1:31:39 AM;QuantDevs;Memory saturation;redistes01.xpcorretora.com.br;redistes01;Alert13715597;Alto / Major;nan;Servidor Linux;SGO-Dynatrace;Alto(a);Encerrado;578ebc88978faa104487b55ef053af8d;RESOURCE_CONTENTION;0;7/25/2025 1:41:34 AM;FALSO;Nenhum(a);2;nan;MEMORY_SATURATED;-768392588248576001_1753417540117V2-redistes01.xpcorretora.com.br;Sim;Infra;2;REM0081992, REM0081993;REM_OK
00:04:10;7/25/2025 2:37:25 AM;QuantDevs;Memory saturation;redistes01.xpcorretora.com.br;redistes01;Alert13715711;Alto / Major;nan;Servidor Linux;SGO-Dynatrace;Alto(a);Encerrado;7e9d09c83b83e610ab756c47f4e45a39;RESOURCE_CONTENTION;0;7/25/2025 2:41:35 AM;FALSO;Nenhum(a);2;nan;MEMORY_SATURATED;221156148977420707_1753421490161V2-redistes01.xpcorretora.com.br;Sim;Infra;2;REM0081994, REM0081995;REM_OK
00:04:10;7/25/2025 3:05:24 AM;Run The Bank;CPU saturation;porchestrade01.xpcorretora.com.br;porchestrade01;Alert13715820;Alto / Major;nan;Windows Server;SGO-Dynatrace;Alto(a);Encerrado;6804998097c3ea104487b55ef053affd;RESOURCE_CONTENTION;0;7/25/2025 3:09:34 AM;FALSO;Nenhum(a);2;nan;CPU_SATURATED;-5574103543658175032_1753423170137V2-porchestrade01.xpcorretora.com.br;Não;Infra;1;REM0081996;REM_OK
